Date	     Extent (million sq km)
10-1986	10.024
10-1986	10.141
10-1986	10.317
11-1986	10.473
11-1986	10.506
11-1986	10.639
11-1986	10.874
11-1986	11.03
11-1986	11.093
11-1986	11.484
11-1986	11.741
11-1986	11.735
11-1986	11.796
11-1986	11.832
11-1986	11.959
11-1986	12.142
11-1986	12.227
11-1986	12.268
12-1986	12.591
12-1986	12.649
12-1986	12.717
12-1986	12.775
12-1986	12.822
12-1986	12.88
12-1986	12.903
12-1986	13.03
12-1986	13.17
12-1986	13.373
12-1986	13.523
12-1986	13.672
12-1986	13.695
12-1986	13.766
12-1986	13.904
12-1986	14.089
01-1987	14.305
01-1987	14.417
01-1987	14.515
01-1987	14.688
01-1987	14.692
01-1987	14.771
01-1987	14.732
01-1987	14.797
01-1987	14.943
01-1987	15.022
01-1987	15.299
01-1987	15.408
01-1987	15.55
01-1987	15.621
01-1987	15.787
02-1987	15.81
02-1987	15.898
02-1987	15.877
02-1987	15.94
02-1987	15.934
02-1987	15.9
02-1987	15.952
02-1987	15.977
02-1987	16.169
02-1987	16.136
02-1987	16.293
02-1987	16.275
02-1987	16.276
02-1987	16.265
03-1987	16.059
03-1987	15.874
03-1987	15.936
03-1987	15.78
03-1987	15.713
03-1987	15.778
03-1987	15.844
03-1987	15.902
03-1987	15.886
03-1987	15.75
03-1987	15.78
03-1987	15.778
03-1987	15.708
03-1987	15.754
03-1987	15.804
03-1987	15.709
04-1987	15.626
04-1987	15.506
04-1987	15.539
04-1987	15.541
04-1987	15.573
04-1987	15.408
04-1987	15.374
04-1987	15.414
04-1987	15.247
